id,FOODS_3_090_TX_1_evaluation,event_name_1,wday,FOODS_3_318_TX_1_evaluation,event_name_1,wday,FOODS_3_586_TX_1_evaluation,event_name_1,wday,FOODS_3_090_TX_2_evaluation,event_name_1,wday,FOODS_3_252_TX_2_evaluation,event_name_1,wday,FOODS_3_318_TX_2_evaluation,event_name_1,wday,FOODS_3_555_TX_2_evaluation,event_name_1,wday,FOODS_3_586_TX_2_evaluation,event_name_1,wday,FOODS_3_587_TX_2_evaluation,event_name_1,wday,FOODS_2_360_TX_3_evaluation,event_name_1,wday,FOODS_3_090_TX_3_evaluation,event_name_1,wday,FOODS_3_252_TX_3_evaluation,event_name_1,wday,FOODS_3_318_TX_3_evaluation,event_name_1,wday,FOODS_3_555_TX_3_evaluation,event_name_1,wday,FOODS_3_586_TX_3_evaluation,event_name_1,wday,FOODS_3_587_TX_3_evaluation,event_name_1,wday
d_1,75,No event,1,125,No event,1,53,No event,1,164,No event,1,52,No event,1,102,No event,1,63,No event,1,98,No event,1,59,No event,1,55,No event,1,203,No event,1,62,No event,1,152,No event,1,65,No event,1,115,No event,1,63,No event,1
d_2,54,No event,2,123,No event,2,46,No event,2,215,No event,2,52,No event,2,160,No event,2,49,No event,2,85,No event,2,34,No event,2,54,No event,2,112,No event,2,64,No event,2,141,No event,2,79,No event,2,116,No event,2,58,No event,2
d_3,74,No event,3,36,No event,3,42,No event,3,94,No event,3,23,No event,3,66,No event,3,43,No event,3,47,No event,3,37,No event,3,30,No event,3,128,No event,3,44,No event,3,84,No event,3,51,No event,3,71,No event,3,30,No event,3
d_4,62,No event,4,51,No event,4,45,No event,4,127,No event,4,20,No event,4,107,No event,4,26,No event,4,56,No event,4,7,No event,4,73,No event,4,76,No event,4,45,No event,4,76,No event,4,42,No event,4,66,No event,4,20,No event,4
d_5,60,No event,5,41,No event,5,28,No event,5,90,No event,5,26,No event,5,92,No event,5,26,No event,5,51,No event,5,0,No event,5,26,No event,5,56,No event,5,23,No event,5,56,No event,5,32,No event,5,66,No event,5,16,No event,5
d_6,106,No event,6,26,No event,6,48,No event,6,140,No event,6,21,No event,6,90,No event,6,28,No event,6,60,No event,6,2,No event,6,66,No event,6,159,No event,6,45,No event,6,83,No event,6,50,No event,6,89,No event,6,44,No event,6
d_7,96,No event,7,15,No event,7,32,No event,7,150,No event,7,47,No event,7,100,No event,7,35,No event,7,63,No event,7,0,No event,7,44,No event,7,97,No event,7,30,No event,7,56,No event,7,56,No event,7,78,No event,7,8,No event,7
d_8,118,Before event,1,72,Before event,1,53,Before event,1,200,Before event,1,56,Before event,1,136,Before event,1,69,Before event,1,96,Before event,1,35,Before event,1,17,Before event,1,187,Before event,1,38,Before event,1,118,Before event,1,79,Before event,1,123,Before event,1,22,Before event,1
d_9,177,SuperBowl,2,66,SuperBowl,2,52,SuperBowl,2,184,SuperBowl,2,45,SuperBowl,2,73,SuperBowl,2,56,SuperBowl,2,95,SuperBowl,2,44,SuperBowl,2,0,SuperBowl,2,162,SuperBowl,2,47,SuperBowl,2,54,SuperBowl,2,75,SuperBowl,2,115,SuperBowl,2,40,SuperBowl,2
d_10,51,After event,3,6,After event,3,26,After event,3,18,After event,3,46,After event,3,48,After event,3,52,After event,3,93,After event,3,44,After event,3,0,After event,3,104,After event,3,18,After event,3,37,After event,3,32,After event,3,70,After event,3,20,After event,3
